着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,厩舎,馬体重,race_id,日付,距離,馬場種類,馬場状態
1,4,7,ファルダ,牝4,54.0,江里口裕,1:16.4,,1,2.2,39.9,大井鷹見浩,486(+2),202444012101,2024/01/21,1200,ダ,不
2,1,1,ニチリン,牝4,54.0,中村尚平,1:16.9,2.1/2,5,12.6,40.4,大井栗田裕光,509(-3),202444012101,2024/01/21,1200,ダ,不
3,3,6,ヤマトホープシップ,牝7,54.0,仲原大生,1:17.3,2,4,10.3,38.9,大井久保杉隆,464(+4),202444012101,2024/01/21,1200,ダ,不
4,7,14,ジンバブジ,牝4,54.0,石川駿介,1:17.7,2,11,70.7,40.0,大井庄子昭彦,513(+2),202444012101,2024/01/21,1200,ダ,不
5,3,5,ベジタブルストア,セ6,56.0,達城龍次,1:17.8,クビ,3,5.7,40.9,大井庄子昭彦,466(+6),202444012101,2024/01/21,1200,ダ,不
6,7,13,ディアマンエクラ,牝5,54.0,森泰斗,1:18.0,3/4,2,3.8,41.2,大井橋本和馬,450(-13),202444012101,2024/01/21,1200,ダ,不
7,5,10,シャザロイン,牝4,54.0,千田洋,1:18.5,2.1/2,14,166.9,40.4,大井赤嶺本浩,417(-5),202444012101,2024/01/21,1200,ダ,不
8,8,16,エンタイトルド,牝6,54.0,岡村健司,1:18.5,ハナ,9,40.9,39.7,大井赤嶺本浩,418(-4),202444012101,2024/01/21,1200,ダ,不
9,8,15,ストロングフレイヤ,牝4,54.0,西啓太,1:18.7,1,10,56.9,39.5,大井蛯名雄太,428(-7),202444012101,2024/01/21,1200,ダ,不
10,1,2,ミワテツニゴー,牡4,56.0,栗原大河,1:18.8,1/2,13,138.1,41.5,大井櫻木英喜,402(-1),202444012101,2024/01/21,1200,ダ,不
11,2,4,ルレット,牝4,51.0,▲大木天翔,1:19.1,1.3/4,12,88.6,40.3,大井小野寺晋,460(-6),202444012101,2024/01/21,1200,ダ,不
12,4,8,ユーリエンペラー,セ4,55.0,☆菅原涼太,1:19.2,3/4,7,25.6,40.4,大井佐宗応和,491(+18),202444012101,2024/01/21,1200,ダ,不
13,6,11,ヴァイスネージュ,牡4,56.0,矢野貴之,1:19.7,2.1/2,6,23.5,41.6,大井月岡健二,463(+3),202444012101,2024/01/21,1200,ダ,不
14,5,9,マイヴェリテ,セ4,54.0,△及川烈,1:21.1,7,15,220.1,40.7,大井渡部則夫,423(+1),202444012101,2024/01/21,1200,ダ,不
15,2,3,フランコニア,牝4,51.0,▲田中洸多,1:21.2,クビ,16,241.3,41.2,大井納谷和玖,458(0),202444012101,2024/01/21,1200,ダ,不
16,6,12,マーカンエミーオ,牡4,56.0,山本聡紀,1:22.7,7,8,30.3,43.9,大井嶋田幸晴,490(-3),202444012101,2024/01/21,1200,ダ,不
1,1,1,アタゴテンジン,牡3,56.0,笹川翼,1:16.7,,1,2.6,38.7,大井村上頼章,476(前計不),202444012102,2024/01/21,1200,ダ,不
2,7,8,ベーリングキララ,牝3,54.0,藤田凌,1:16.7,クビ,5,8.6,38.6,大井朝倉実,478(前計不),202444012102,2024/01/21,1200,ダ,不
3,3,3,マヒナブラヴォー,牡3,56.0,西啓太,1:17.5,4,4,7.9,37.8,大井福永敏,491(前計不),202444012102,2024/01/21,1200,ダ,不
4,5,5,マヌーバー,牡3,56.0,千田洋,1:19.0,7,7,11.7,40.5,大井鷹見浩,498(前計不),202444012102,2024/01/21,1200,ダ,不
5,2,2,コンチスター,牡3,56.0,和田譲治,1:19.3,1.1/2,8,31.2,40.8,大井栗田裕光,517(前計不),202444012102,2024/01/21,1200,ダ,不
6,6,6,ツムグ,牡3,56.0,矢野貴之,1:19.4,1/2,2,4.0,40.5,大井渡辺和雄,476(前計不),202444012102,2024/01/21,1200,ダ,不
7,8,9,サニーホーク,牡3,56.0,藤本現暉,1:19.5,クビ,3,6.5,41.0,大井朝倉実,539(前計不),202444012102,2024/01/21,1200,ダ,不
8,7,7,ビッグスタールーフ,牡3,56.0,岡村健司,1:21.3,9,9,47.0,41.8,大井井上弘之,465(前計不),202444012102,2024/01/21,1200,ダ,不
9,4,4,ホクソウカリーニョ,牝3,54.0,江里口裕,1:25.9,大,10,144.4,46.6,大井嶋田幸晴,382(前計不),202444012102,2024/01/21,1200,ダ,不
中止,8,10,プロミスザスター,牡3,53.0,▲大木天翔,,,6,10.8,,大井辻野豊,521,202444012102,2024/01/21,1200,ダ,不
1,5,5,ステーレンナフト,牡3,56.0,和田譲治,1:31.4,,1,1.7,40.1,大井的場直之,475(-1),202444012103,2024/01/21,1400,ダ,不
2,8,8,ヨシュア,牡3,56.0,西啓太,1:32.5,5,2,3.1,40.5,大井渡辺和雄,480(-2),202444012103,2024/01/21,1400,ダ,不
3,3,3,コネクトハーツ,牡3,53.0,▲谷内貫太,1:32.5,クビ,8,54.7,39.9,大井鷹見浩,438(+13),202444012103,2024/01/21,1400,ダ,不
4,7,7,マキズシトイナ,牡3,56.0,野畑凌,1:33.9,7,3,9.2,42.5,大井高橋清顕,477(-2),202444012103,2024/01/21,1400,ダ,不
5,1,1,ゼネラルチーター,牡3,56.0,安藤洋一,1:34.4,2.1/2,7,54.1,40.6,大井須田和伸,445(+12),202444012103,2024/01/21,1400,ダ,不
6,2,2,エイプリルストーム,牡3,56.0,栗原大河,1:34.5,クビ,6,22.7,41.1,大井佐宗応和,441(+2),202444012103,2024/01/21,1400,ダ,不
7,4,4,カレンバローズ,牝3,54.0,藤本現暉,1:34.9,2,4,9.3,41.3,大井村上頼章,474(-10),202444012103,2024/01/21,1400,ダ,不
8,6,6,プレストスナイパー,牡3,56.0,達城龍次,1:36.1,6,5,17.5,43.1,大井荒井朋弘,502(+12),202444012103,2024/01/21,1400,ダ,不
1,5,7,ボクノオクリモノ,牡3,56.0,矢野貴之,1:18.0,,1,1.4,40.3,大井市村誠,462(+1),202444012104,2024/01/21,1200,ダ,不
2,8,14,ディフィラリー,牡3,56.0,安藤洋一,1:19.9,9,3,11.9,42.3,大井堀江仁,516(-9),202444012104,2024/01/21,1200,ダ,不
3,4,5,カゼノヨウニ,牡3,53.0,▲田中洸多,1:20.0,1/2,4,15.4,41.7,大井荒井朋弘,495(+1),202444012104,2024/01/21,1200,ダ,不
4,3,4,ランウェイクイーン,牝3,54.0,青柳正義,1:20.3,1.1/2,7,29.0,42.3,大井荒井朋弘,452(+2),202444012104,2024/01/21,1200,ダ,不
5,2,2,スーパーキング,牡3,56.0,栗原大河,1:20.4,1/2,6,28.6,40.8,大井堀江仁,492(-6),202444012104,2024/01/21,1200,ダ,不
6,7,12,キョウエイアンバー,牝3,54.0,藤本現暉,1:20.8,2,2,4.0,42.2,大井阪本一栄,459(+16),202444012104,2024/01/21,1200,ダ,不
7,6,9,ユウユウカグヤ,牝3,51.0,▲木澤奨,1:21.1,1.3/4,13,229.0,42.7,大井大宮和也,408(-5),202444012104,2024/01/21,1200,ダ,不
8,4,6,ピローテス,牝3,54.0,和田譲治,1:21.3,1,8,58.0,41.6,大井宗形竹見,503(-3),202444012104,2024/01/21,1200,ダ,不
9,8,13,アバンテジュニア,牡3,56.0,千田洋,1:21.6,1.1/2,12,121.4,41.6,大井鷹見浩,417(0),202444012104,2024/01/21,1200,ダ,不
10,3,3,ゴルドヴァッサー,牝3,54.0,石川駿介,1:21.7,1/2,11,103.3,43.1,大井佐々木洋,404(+3),202444012104,2024/01/21,1200,ダ,不
11,5,8,ハンガンノキセキ,牡3,55.0,☆菅原涼太,1:21.8,クビ,10,80.4,43.8,大井佐宗応和,446(-12),202444012104,2024/01/21,1200,ダ,不
12,6,10,ゼネラルソクハヤ,牡3,53.0,▲大木天翔,1:22.4,3,14,456.8,42.2,大井村上頼章,415(-2),202444012104,2024/01/21,1200,ダ,不
13,1,1,ジュレヴァー,牝3,54.0,藤田凌,1:22.8,2,5,25.9,42.6,大井高岩孝敏,438(-3),202444012104,2024/01/21,1200,ダ,不
14,7,11,ソウルレコード,牝3,54.0,吉井章,1:23.6,4,9,75.4,43.3,大井高橋清顕,435(-1),202444012104,2024/01/21,1200,ダ,不
1,7,11,ラージフィールド,セ4,56.0,藤本現暉,1:47.3,,3,3.6,42.1,大井小野寺晋,492(+2),202444012105,2024/01/21,1600,ダ,不
2,5,8,シルバーアッシュ,牡4,56.0,藤田凌,1:47.3,クビ,10,63.5,42.0,大井中道啓二,463(+9),202444012105,2024/01/21,1600,ダ,不
3,3,3,ブレストサンダー,牡4,56.0,森泰斗,1:47.4,クビ,2,3.4,41.6,大井松浦裕之,497(+5),202444012105,2024/01/21,1600,ダ,不
4,1,1,キャプテンフジ,牡4,56.0,矢野貴之,1:47.9,2.1/2,4,5.7,41.6,大井的場直之,483(+7),202444012105,2024/01/21,1600,ダ,不
5,7,12,フェアリーマイア,牝4,51.0,▲木澤奨,1:48.2,1.3/4,11,78.2,42.4,大井村上頼章,389(+3),202444012105,2024/01/21,1600,ダ,不
6,6,10,ヴァイザーバルコ,セ4,56.0,江里口裕,1:48.3,3/4,5,18.9,42.3,大井月岡健二,469(-3),202444012105,2024/01/21,1600,ダ,不
7,5,7,プリンシパルアクト,牡4,56.0,野畑凌,1:49.1,4,6,26.4,43.5,大井的場直之,493(-6),202444012105,2024/01/21,1600,ダ,不
8,4,6,ラヴァーズアイ,牝4,54.0,山崎誠士,1:49.1,クビ,14,206.6,43.9,大井澤佳宏,479(+2),202444012105,2024/01/21,1600,ダ,不
9,4,5,ルージュカメリア,牝4,54.0,吉井章,1:49.3,3/4,12,89.9,42.8,大井阪本一栄,417(+2),202444012105,2024/01/21,1600,ダ,不
10,8,14,レフトアローン,牡4,56.0,西啓太,1:49.4,クビ,9,53.2,42.6,大井堀千亜樹,452(+1),202444012105,2024/01/21,1600,ダ,不
11,3,4,ギャレットルレーヴ,セ4,56.0,町田直希,1:49.4,ハナ,8,46.8,43.4,大井佐野謙二,457(+2),202444012105,2024/01/21,1600,ダ,不
12,2,2,サスガダネ,牡4,53.0,▲大木天翔,1:49.9,2.1/2,13,165.7,43.2,大井辻野豊,485(+3),202444012105,2024/01/21,1600,ダ,不
13,6,9,ムンドエルモソ,牝4,54.0,笹川翼,1:53.1,大,1,3.1,47.3,大井澤佳宏,433(+23),202444012105,2024/01/21,1600,ダ,不
14,8,13,ハバナモヒート,牡4,56.0,本田正重,1:54.0,4,7,45.1,45.2,大井朝倉実,455(0),202444012105,2024/01/21,1600,ダ,不
1,8,15,アフロビート,牡4,56.0,山崎誠士,1:16.2,,3,6.3,39.7,大井荒井朋弘,441(-4),202444012106,2024/01/21,1200,ダ,不
2,5,8,クリスプオブウォー,牡4,56.0,西啓太,1:16.4,1,4,13.2,40.0,大井福永敏,482(+2),202444012106,2024/01/21,1200,ダ,不
3,3,5,ゼラスエフォーツ,牝4,54.0,笹川翼,1:16.7,1.3/4,2,3.3,40.0,大井渡辺和雄,462(+2),202444012106,2024/01/21,1200,ダ,不
4,2,3,リケアシラヌイ,牡4,56.0,矢野貴之,1:17.0,1.3/4,5,17.3,40.4,大井澤佳宏,474(+28),202444012106,2024/01/21,1200,ダ,不
5,1,1,ナギサノチャコ,牝4,54.0,松崎正泰,1:17.2,1,13,425.4,39.7,大井高野毅,424(+1),202444012106,2024/01/21,1200,ダ,不
6,7,12,サノノタルマエ,牝4,54.0,達城龍次,1:17.7,2.1/2,9,93.9,41.3,大井朝倉実,445(-1),202444012106,2024/01/21,1200,ダ,不
7,2,2,ブリックスダール,セ4,56.0,石崎駿,1:17.8,1/2,8,37.2,39.8,大井栗田泰昌,407(-8),202444012106,2024/01/21,1200,ダ,不
8,8,14,ホクトブルース,牝4,54.0,森泰斗,1:17.9,3/4,1,1.9,41.2,大井櫻木英喜,494(+10),202444012106,2024/01/21,1200,ダ,不
9,6,11,デルマネコダマシ,牝4,54.0,江里口裕,1:18.3,2,10,97.5,41.5,大井鈴木啓之,461(-8),202444012106,2024/01/21,1200,ダ,不
10,4,6,レゼルノワール,牝4,53.0,☆木間塚龍,1:18.4,クビ,11,154.5,41.3,大井渡辺和雄,461(+3),202444012106,2024/01/21,1200,ダ,不
11,5,9,エイシンペリドット,牝4,51.0,▲大木天翔,1:18.5,3/4,14,429.9,40.8,大井小野寺晋,481(+6),202444012106,2024/01/21,1200,ダ,不
12,6,10,サンルクリア,牝4,51.0,▲谷内貫太,1:18.9,2,6,20.2,41.9,大井嶋田幸晴,471(+1),202444012106,2024/01/21,1200,ダ,不
13,3,4,ノースハマナス,牝4,54.0,和田譲治,1:19.0,クビ,12,226.4,40.6,大井米田英世,457(+28),202444012106,2024/01/21,1200,ダ,不
14,4,7,コンピートバーチェ,牝4,51.0,▲木澤奨,1:19.3,1.3/4,15,617.0,40.1,大井佐々木忠,470(-2),202444012106,2024/01/21,1200,ダ,不
中止,7,13,ジュエルス,牝4,54.0,千田洋,,,7,27.3,,大井村上頼章,491(+21),202444012106,2024/01/21,1200,ダ,不
1,6,10,マイネルサブマリン,牡7,57.0,矢野貴之,2:11.3,,2,4.0,40.7,大井森下淳平,476(-6),202444012107,2024/01/21,2000,ダ,不
2,5,9,ラストストーリー,牡6,57.0,藤田凌,2:11.4,1/2,7,16.7,41.2,大井阪本一栄,454(+3),202444012107,2024/01/21,2000,ダ,不
3,6,11,レイリ,牡5,57.0,森泰斗,2:12.0,3,5,10.4,40.9,大井上杉昌宏,536(-2),202444012107,2024/01/21,2000,ダ,不
4,7,12,ヒロシゲジャック,牡5,57.0,岡村健司,2:12.1,クビ,8,25.3,41.7,大井荒井朋弘,523(+1),202444012107,2024/01/21,2000,ダ,不
5,4,6,スミソニアン,牡6,57.0,的場文男,2:12.8,3.1/2,9,30.9,40.8,大井宗形竹見,430(-1),202444012107,2024/01/21,2000,ダ,不
6,3,4,クールファイブ,牡6,57.0,野畑凌,2:12.8,アタマ,10,31.0,42.0,大井月岡健二,483(-3),202444012107,2024/01/21,2000,ダ,不
7,3,5,コスモファルネーゼ,牡5,57.0,和田譲治,2:12.9,1/2,4,6.5,41.5,大井宗形竹見,487(0),202444012107,2024/01/21,2000,ダ,不
8,2,3,ラインストリーム,牡7,55.0,藤本現暉,2:13.2,1.1/2,12,62.0,41.6,大井鷹見浩,457(-4),202444012107,2024/01/21,2000,ダ,不
9,8,14,ウインレゼルヴ,牡7,57.0,達城龍次,2:13.6,2,1,3.4,42.8,大井坂井英光,519(+7),202444012107,2024/01/21,2000,ダ,不
10,8,15,ワイルドハンター,セ4,55.0,岩橋勇二,2:13.7,クビ,15,301.6,41.2,大井上杉昌宏,470(-1),202444012107,2024/01/21,2000,ダ,不
11,7,13,トップロイヤル,牡7,55.0,青柳正義,2:14.8,5,14,70.9,43.9,大井橋本和馬,544(0),202444012107,2024/01/21,2000,ダ,不
12,5,8,ロヴェンテ,牡5,55.0,本田正重,2:15.2,2,6,16.6,42.8,大井渡辺和雄,523(-4),202444012107,2024/01/21,2000,ダ,不
13,2,2,モンサンイルベント,セ7,57.0,服部茂史,2:16.2,5,13,64.1,44.5,大井宗形竹見,485(0),202444012107,2024/01/21,2000,ダ,不
14,1,1,マルカンブロンド,牡5,57.0,笹川翼,2:16.4,3/4,3,5.9,46.1,大井高野毅,480(+3),202444012107,2024/01/21,2000,ダ,不
15,4,7,エールブラーヴ,牡7,57.0,西啓太,2:17.1,3.1/2,11,53.8,46.7,大井田中正人,492(+5),202444012107,2024/01/21,2000,ダ,不
1,2,2,ヒメカミノメガミ,牝5,55.0,江里口裕,1:30.1,,2,3.8,39.9,大井鈴木啓之,516(-6),202444012108,2024/01/21,1400,ダ,不
2,4,4,フラワージャンヌ,牝5,53.0,藤本現暉,1:30.3,1,3,6.7,40.6,大井松浦裕之,454(+8),202444012108,2024/01/21,1400,ダ,不
3,8,10,ビアンカ,牝4,53.0,吉井章,1:30.4,3/4,5,9.6,40.6,大井大宮和也,414(-7),202444012108,2024/01/21,1400,ダ,不
4,6,7,リンカイテン,牝5,55.0,達城龍次,1:30.5,3/4,6,11.6,40.3,大井橋本和馬,488(-3),202444012108,2024/01/21,1400,ダ,不
5,6,6,バジルフレイバー,牝6,55.0,和田譲治,1:31.1,3,4,8.3,40.4,大井月岡健二,464(-2),202444012108,2024/01/21,1400,ダ,不
6,8,11,アンファスエシャペ,牝6,53.0,仲原大生,1:31.8,3.1/2,8,111.0,42.2,大井佐藤壽,456(+2),202444012108,2024/01/21,1400,ダ,不
7,5,5,ウィシュアポナスタ,牝5,50.0,▲大木天翔,1:32.0,1,10,314.7,42.5,大井小野寺晋,458(-4),202444012108,2024/01/21,1400,ダ,不
8,7,8,ナックフローラ,牝5,55.0,本橋孝太,1:32.0,アタマ,7,32.5,39.4,大井立花貢,493(-1),202444012108,2024/01/21,1400,ダ,不
9,3,3,アサクサロック,牝4,55.0,矢野貴之,1:32.1,1/2,1,2.0,42.7,大井佐野謙二,487(-7),202444012108,2024/01/21,1400,ダ,不
10,7,9,アイルビーゼア,牝6,55.0,岩橋勇二,1:32.6,2.1/2,11,363.9,42.0,大井久保杉隆,457(+9),202444012108,2024/01/21,1400,ダ,不
11,1,1,ヤマジュンセーヌ,牝4,53.0,栗原大河,1:32.9,1.1/2,9,192.0,42.1,大井小野寺晋,452(-3),202444012108,2024/01/21,1400,ダ,不
1,8,14,ドルヴァル,牡4,56.0,藤田凌,1:45.4,,1,2.2,41.0,大井赤嶺本浩,480(+6),202444012201,2024/01/22,1600,ダ,不
2,3,3,オフトン,牝4,51.0,▲木澤奨,1:45.4,クビ,11,87.0,41.2,大井村上頼章,431(-2),202444012201,2024/01/22,1600,ダ,不
3,7,11,スターチャーム,牝4,54.0,安藤洋一,1:45.4,ハナ,3,5.0,40.7,大井藤田輝信,471(+15),202444012201,2024/01/22,1600,ダ,不
4,5,7,カバロプレト,牡5,56.0,笹川翼,1:45.8,2,5,11.1,40.7,大井澤佳宏,451(-2),202444012201,2024/01/22,1600,ダ,不
5,2,2,デンショウロイヤル,牡6,56.0,岩橋勇二,1:46.0,3/4,4,7.4,40.4,大井遠藤茂,492(-1),202444012201,2024/01/22,1600,ダ,不
6,4,5,ワイディドゥバイ,牡6,56.0,藤本現暉,1:46.1,1/2,2,4.9,41.3,大井赤嶺亮,524(-1),202444012201,2024/01/22,1600,ダ,不
7,6,9,スペキアリス,牝6,54.0,石川駿介,1:46.2,1/2,10,79.7,42.0,大井高橋清顕,444(-16),202444012201,2024/01/22,1600,ダ,不
8,1,1,ヴィンテージマロン,牝4,52.0,△室陽一朗,1:46.4,1,9,77.2,41.4,大井蛯名雄太,467(+4),202444012201,2024/01/22,1600,ダ,不
9,8,13,ルグランブルー,牝5,54.0,達城龍次,1:46.6,3/4,6,12.4,41.3,大井橋本和馬,456(+2),202444012201,2024/01/22,1600,ダ,不
10,5,8,ミテ,牝4,54.0,東原悠善,1:47.2,3,12,106.3,42.0,大井庄子昭彦,414(-17),202444012201,2024/01/22,1600,ダ,不
11,7,12,チェリーシンガー,牝5,54.0,町田直希,1:47.5,1.1/2,8,56.7,43.2,大井辻野豊,440(-2),202444012201,2024/01/22,1600,ダ,不
12,3,4,エコロジョイアー,牡4,56.0,中村尚平,1:48.0,2.1/2,14,245.1,42.5,大井村上頼章,489(-2),202444012201,2024/01/22,1600,ダ,不
13,6,10,グローリーエックス,セ6,56.0,松崎正泰,1:48.1,3/4,13,209.9,41.5,大井渡部則夫,507(0),202444012201,2024/01/22,1600,ダ,不
14,4,6,モリデンカイドウ,牡6,56.0,江里口裕,1:49.9,9,7,27.0,44.7,大井蛯名雄太,521(+11),202444012201,2024/01/22,1600,ダ,不
1,1,2,サンクスグランパ,セ6,56.0,千田洋,1:15.0,,4,8.1,38.0,大井大宮和也,475(0),202444012202,2024/01/22,1200,ダ,不
2,4,8,ダンシングラスカル,牡5,56.0,内田利雄,1:15.0,ハナ,3,7.3,38.4,大井納谷和玖,501(+1),202444012202,2024/01/22,1200,ダ,不
3,2,4,ゴールデンエール,牡4,56.0,西啓太,1:15.3,1.3/4,2,6.1,39.2,大井中道啓二,505(+3),202444012202,2024/01/22,1200,ダ,不
4,5,10,ゴールデンオージャ,牡6,53.0,▲谷内貫太,1:15.5,1,5,8.9,38.5,大井村上頼章,459(0),202444012202,2024/01/22,1200,ダ,不
5,2,3,レガーメダモーレ,牡6,56.0,吉井章,1:15.6,クビ,8,29.9,38.9,大井月岡健二,538(-7),202444012202,2024/01/22,1200,ダ,不
6,7,13,グラフィア,牝5,54.0,森泰斗,1:16.1,2.1/2,1,2.0,39.5,大井橋本和馬,505(+7),202444012202,2024/01/22,1200,ダ,不
7,4,7,エムジェイホープ,牡7,56.0,藤田凌,1:16.2,1/2,6,14.6,39.2,大井藤田輝信,477(-4),202444012202,2024/01/22,1200,ダ,不
8,3,6,イチゴショート,牝6,51.0,▲田中洸多,1:16.6,2,14,145.5,38.6,大井小野寺晋,414(+1),202444012202,2024/01/22,1200,ダ,不
9,8,15,メイワシェリー,牝6,54.0,中村尚平,1:16.7,1/2,15,224.0,40.6,大井辻野豊,437(+1),202444012202,2024/01/22,1200,ダ,不
10,1,1,スピーディパイン,牡5,56.0,的場文男,1:16.7,アタマ,11,50.5,38.8,大井立花伸,451(0),202444012202,2024/01/22,1200,ダ,不
11,5,9,イーブンモア,牝4,54.0,新原周馬,1:16.8,クビ,10,49.0,38.4,大井赤嶺本浩,380(-20),202444012202,2024/01/22,1200,ダ,不
12,8,16,ヤマタノオロチ,牡6,56.0,藤本現暉,1:16.8,アタマ,7,22.3,39.9,大井鷹見浩,520(+4),202444012202,2024/01/22,1200,ダ,不
13,3,5,ハルノマリーナ,牝7,54.0,岡村健司,1:16.8,ハナ,9,48.3,40.3,大井遠藤茂,486(0),202444012202,2024/01/22,1200,ダ,不
14,6,11,リュウールドレ,牝6,53.0,☆菅原涼太,1:16.8,ハナ,13,139.3,39.3,大井辻野豊,423(-7),202444012202,2024/01/22,1200,ダ,不
15,6,12,ジュディスピュア,牝6,54.0,仲原大生,1:17.9,5,12,99.8,40.5,大井渡部則夫,457(+18),202444012202,2024/01/22,1200,ダ,不
16,7,14,ダリオールショコラ,牝4,53.0,☆木間塚龍,1:18.1,1,16,430.1,40.7,大井栗田泰昌,427(+7),202444012202,2024/01/22,1200,ダ,不
1,2,2,ラブラブバゴバゴ,牝3,54.0,西啓太,1:32.4,,1,2.1,41.6,大井荒井朋弘,494(0),202444012203,2024/01/22,1400,ダ,不
2,8,13,グレイスショコラ,牝3,54.0,矢野貴之,1:32.4,クビ,2,4.2,41.6,大井佐野謙二,436(-20),202444012203,2024/01/22,1400,ダ,不
3,5,6,クルーミーズクライ,牡3,56.0,笹川翼,1:32.6,3/4,8,29.0,40.3,大井嶋田幸晴,489(0),202444012203,2024/01/22,1400,ダ,不
4,1,1,オールエクシード,牝3,54.0,達城龍次,1:32.6,アタマ,11,35.4,39.3,大井小野寺晋,475(-6),202444012203,2024/01/22,1400,ダ,不
5,8,12,アイヴィハウス,牡3,56.0,野畑凌,1:32.6,ハナ,3,6.5,41.8,大井澤佳宏,479(+9),202444012203,2024/01/22,1400,ダ,不
6,6,9,プルガトリオ,牡3,56.0,青柳正義,1:32.9,1.3/4,5,14.9,40.8,大井福永敏,459(-4),202444012203,2024/01/22,1400,ダ,不
7,7,11,ジョシュア,牡3,56.0,張田昂,1:33.3,2,4,13.1,40.9,大井橋本和馬,464(+24),202444012203,2024/01/22,1400,ダ,不
8,5,7,チェーロセレーノ,牝3,54.0,和田譲治,1:33.5,1,9,31.0,40.2,大井渡辺和雄,428(-8),202444012203,2024/01/22,1400,ダ,不
9,3,3,ロイロ,牡3,56.0,安藤洋一,1:33.6,1/2,7,21.6,42.0,大井栗田裕光,509(-7),202444012203,2024/01/22,1400,ダ,不
10,7,10,バデル,牡3,56.0,仲原大生,1:33.6,アタマ,13,159.5,41.0,大井村上頼章,451(-10),202444012203,2024/01/22,1400,ダ,不
11,6,8,クイーンオブオーソ,牝3,54.0,藤田凌,1:33.6,ハナ,10,31.5,41.8,大井蛯名雄太,419(+3),202444012203,2024/01/22,1400,ダ,不
12,4,4,アメアガリ,牝3,54.0,的場文男,1:34.1,2.1/2,12,57.2,41.2,大井井上弘之,451(-16),202444012203,2024/01/22,1400,ダ,不
13,4,5,オーライシス,牝3,54.0,森泰斗,1:35.4,6,6,16.6,43.1,大井田中正人,450(+8),202444012203,2024/01/22,1400,ダ,不
1,6,9,キャプテンジャック,牡3,56.0,矢野貴之,1:16.5,,1,1.8,39.1,大井的場直之,464(+5),202444012204,2024/01/22,1200,ダ,不
2,3,3,ゼネラルリッチ,牡3,55.0,☆菅原涼太,1:16.8,1.3/4,5,26.2,39.6,大井辻野豊,527(+1),202444012204,2024/01/22,1200,ダ,不
3,2,2,コスモソンジュ,牡3,56.0,笹川翼,1:17.1,1.1/2,2,2.4,39.6,大井宗形竹見,415(-1),202444012204,2024/01/22,1200,ダ,不
4,5,7,カズノミカヅキ,牡3,56.0,達城龍次,1:17.5,2,4,13.6,39.5,大井納谷和玖,494(+9),202444012204,2024/01/22,1200,ダ,不
5,7,11,アサクサマイヒメ,牝3,54.0,仲原大生,1:17.6,クビ,7,60.5,40.0,大井米田英世,431(-12),202444012204,2024/01/22,1200,ダ,不
6,4,5,サブノプレミアム,牡3,56.0,西啓太,1:17.7,1/2,3,8.0,39.8,大井堀千亜樹,511(0),202444012204,2024/01/22,1200,ダ,不
7,8,12,イキナリイイネ,牡3,56.0,石川駿介,1:18.3,3,10,145.1,39.0,大井高岩孝敏,416(-1),202444012204,2024/01/22,1200,ダ,不
8,4,4,ケイアンプルール,セ3,56.0,青柳正義,1:18.3,アタマ,9,130.5,41.0,大井堀千亜樹,433(-7),202444012204,2024/01/22,1200,ダ,不
9,1,1,タマゴカケゴハン,牝3,54.0,栗原大河,1:18.3,ハナ,6,48.0,40.7,大井小野寺晋,387(+1),202444012204,2024/01/22,1200,ダ,不
10,8,13,メーラドーロ,牝3,51.0,▲木澤奨,1:18.5,1,12,338.3,39.6,大井久保杉隆,435(-8),202444012204,2024/01/22,1200,ダ,不
11,6,8,マルヨリヴィエラ,牝3,51.0,▲田中洸多,1:19.4,4,13,500.5,39.4,大井赤嶺本浩,446(-4),202444012204,2024/01/22,1200,ダ,不
12,7,10,ホクソウドルチェ,牝3,54.0,遠藤健太,1:19.4,ハナ,8,103.7,41.3,大井遠藤茂,404(-6),202444012204,2024/01/22,1200,ダ,不
13,5,6,トパーズ,牝3,51.0,▲谷内貫太,1:22.1,大,11,250.2,42.4,大井庄子昭彦,385(-12),202444012204,2024/01/22,1200,ダ,不
1,7,9,シンティリオ,牡4,56.0,達城龍次,1:44.7,,5,16.3,40.1,大井鈴木啓之,477(+1),202444012205,2024/01/22,1600,ダ,不
2,5,5,ハッピータイム,牡4,56.0,御神本訓,1:44.7,クビ,2,3.0,40.1,大井福永敏,548(-2),202444012205,2024/01/22,1600,ダ,不
3,5,6,トーアカラカウア,牡4,56.0,藤田凌,1:45.3,3,1,2.3,40.2,大井阪本一栄,475(-1),202444012205,2024/01/22,1600,ダ,不
4,1,1,ルイーサ,牝4,54.0,江里口裕,1:46.1,4,6,33.5,41.2,大井鷹見浩,464(+1),202444012205,2024/01/22,1600,ダ,不
5,8,11,バーンキャット,牝4,54.0,矢野貴之,1:46.6,2.1/2,4,6.4,42.0,大井松浦裕之,452(+2),202444012205,2024/01/22,1600,ダ,不
6,4,4,カミノアスール,牡4,56.0,服部茂史,1:47.1,2.1/2,12,226.2,41.0,大井蛯名雄太,511(+7),202444012205,2024/01/22,1600,ダ,不
7,6,8,ヘウレシス,牝4,54.0,笹川翼,1:47.1,ハナ,3,5.1,41.4,大井渡辺和雄,438(-6),202444012205,2024/01/22,1600,ダ,不
