着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,厩舎,馬体重,race_id,日付,距離,馬場種類,馬場状態
1,4,6,カトミリ,牡4,56.0,安藤洋一,1:29.1,,1,1.7,38.2,大井藤田輝信,517(前計不),202544011301,2025/01/13,1400,ダ,稍
2,7,11,マヒナルーサー,牡4,56.0,千田洋,1:30.1,5,4,16.3,39.3,大井朝倉実,515(+6),202544011301,2025/01/13,1400,ダ,稍
3,4,5,バーロット,牡6,56.0,瀬川将輝,1:30.3,1,12,202.6,39.7,大井栗田裕光,459(-1),202544011301,2025/01/13,1400,ダ,稍
4,3,3,ヘニーアイリス,牝4,54.0,吉井章,1:30.3,クビ,2,2.6,39.4,大井松浦裕之,443(+2),202544011301,2025/01/13,1400,ダ,稍
5,5,7,サウザンセーラ,牝5,54.0,高橋昭平,1:30.5,1,5,23.2,39.5,大井立花貢,484(-4),202544011301,2025/01/13,1400,ダ,稍
6,8,13,ハニーナイト,牝6,54.0,藤本現暉,1:30.8,1.1/2,9,38.1,39.6,大井渡部則夫,456(+10),202544011301,2025/01/13,1400,ダ,稍
7,1,1,ジンバブジ,牝5,54.0,石川駿介,1:30.9,1/2,6,32.5,38.9,大井庄子昭彦,503(-5),202544011301,2025/01/13,1400,ダ,稍
8,6,9,ナックドバイ,牡6,55.0,☆鷹見陸,1:30.9,ハナ,7,36.4,39.7,大井立花貢,508(+2),202544011301,2025/01/13,1400,ダ,稍
9,7,12,ジョイスマイリー,牝5,52.0,△谷内貫太,1:31.4,2.1/2,8,37.1,39.1,大井大宮和也,437(+3),202544011301,2025/01/13,1400,ダ,稍
10,5,8,サンダーペコ,牝4,54.0,藤田凌,1:31.4,ハナ,3,14.9,39.3,大井橋本和馬,473(-3),202544011301,2025/01/13,1400,ダ,稍
11,6,10,ゴルドヴァッサー,牝4,54.0,遠藤健太,1:32.4,5,13,231.3,40.6,大井佐々木洋,399(-2),202544011301,2025/01/13,1400,ダ,稍
12,3,4,ハナノクロコ,牝4,51.0,▲田中洸多,1:32.5,クビ,10,122.7,40.9,大井荒井朋弘,446(+5),202544011301,2025/01/13,1400,ダ,稍
13,2,2,エイシンペリドット,牝5,54.0,落合玄太,1:32.7,1,11,149.3,40.9,大井小野寺晋,489(-4),202544011301,2025/01/13,1400,ダ,稍
14,8,14,グローリーエックス,セ7,56.0,山林堂信,1:34.2,7,14,272.2,40.9,大井渡部則夫,502(0),202544011301,2025/01/13,1400,ダ,稍
1,5,6,マーナーパス,牡6,56.0,遠藤健太,1:15.4,,1,2.4,39.2,大井遠藤茂,469(+4),202544011302,2025/01/13,1200,ダ,稍
2,8,11,イントゥユー,牝4,54.0,矢野貴之,1:15.9,2.1/2,2,2.7,38.9,大井渡辺和雄,487(前計不),202544011302,2025/01/13,1200,ダ,稍
3,6,7,コーリングヘニー,牡4,56.0,吉井章,1:16.7,4,3,3.5,40.1,大井的場直之,577(前計不),202544011302,2025/01/13,1200,ダ,稍
4,8,12,ゴールドアバンティ,牡6,56.0,安藤洋一,1:17.1,2,4,11.4,39.4,大井立花伸,462(+9),202544011302,2025/01/13,1200,ダ,稍
5,7,10,マルカンマイヤー,牡4,55.0,☆鷹見陸,1:17.3,1,5,22.9,40.3,大井佐々木洋,524(+2),202544011302,2025/01/13,1200,ダ,稍
6,2,2,マルヨリヴィエラ,牝4,54.0,東原悠善,1:17.5,3/4,10,155.0,40.0,大井赤嶺本浩,457(+8),202544011302,2025/01/13,1200,ダ,稍
7,6,8,ボクラノカガヤキ,牡4,56.0,江里口裕,1:18.0,2.1/2,9,117.9,40.3,大井橋本和馬,538(-7),202544011302,2025/01/13,1200,ダ,稍
8,1,1,ルビーリング,牝4,51.0,▲田中洸多,1:18.1,1/2,7,81.1,39.9,大井橋本和馬,439(-2),202544011302,2025/01/13,1200,ダ,稍
9,5,5,ロイロ,牡4,56.0,阿部龍,1:18.3,1,6,58.2,40.1,大井栗田裕光,520(+5),202544011302,2025/01/13,1200,ダ,稍
10,7,9,ユウユウカグヤ,牝4,51.0,▲加藤雄真,1:18.9,3,12,286.7,41.5,大井佐々木忠,413(+1),202544011302,2025/01/13,1200,ダ,稍
